Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад №71 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Софьи Ковалевской ул, 16, А, 2, 195256;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 3 Калининского района Санкт-Петербурга;Санкт-Петербург г, Софьи Ковалевской ул, 3, А, 2, 195252;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №6 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Союза Печатников ул, 3, А, 190121;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №21 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Среднеохтинский пр-кт, 5, А, 2, 195027;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 47 Московского района Санкт-Петербурга;Санкт-Петербург г, Среднерогатская ул, 13, 3, 196158;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 82 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Стародеревенская ул, 20, А, 3, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №12 Приморского района Санкт-Петербурга;Санкт-Петербург г, Стародеревенская ул, 23, 3, 197372;Приморский
"Государственное бюджетное дошкольное образовательное учреждение детский сад № 69 ""Марина"" присмотра и оздоровления Красногвардейского района Санкт-Петербурга";Санкт-Петербург г, Стахановцев ул, 10, 2, 195196;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №57 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 105, А, 3, 198303;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 56 Кировcкого района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 107, А, 2, 198303;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №7 Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 150, A, 198207;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №4 Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 55, А, 198096;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №12 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 67, А, 7, 198096;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 196 Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 82, А, 2, 198096;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 58 комбинированного вида Кировского района Санкт- Петербурга;Санкт-Петербург г, Стачек пр-кт, 85, А, 2, 198302;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №45 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Стачек пр-кт, 89, А, 2, 198302;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 105 комбинированного вида Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Степана Разина ул, 8/231, А, 198035;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №35 Кировского района Санкт-Петербурга;Санкт-Петербург г, Стойкости ул, 19, А, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №63 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Стойкости ул, 26, 2, 198261;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №42 Кировского района Санкт-Петербурга;Санкт-Петербург г, Стойкости ул, 41, А, 2, 198261;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 70 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Стрельбищенская ул, 8, А, 192102;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №50 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Суворовский пр-кт, 17, А, 193036;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №48 Центрального района Санкт-Петербурга;Санкт-Петербург г, Суворовский пр-кт, 62, А, пом.13Н, 191015;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 141 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Суздальский пр-кт, 5, 2, 194355;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 38 Приморского района Санкт-Петербурга;Санкт-Петербург г, Суздальское ш, 24, 1, 4, 197375;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №56 Приморского района Санкт-Петербурга;Санкт-Петербург г, Суздальское шоссе, 30, 3, 197375;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 2 компенсирующего вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Счастливая ул, 11, А, 198215;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №22 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга;Санкт-Петербург г, Счастливая ул, 3, A, 198215;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №12 компенсирующего вида Петроградского района Санкт-Петербурга;Санкт-Петербург г, Съезжинская ул, 18-20, А, 197198;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №116 Центрального района Санкт- Петербурга;Санкт-Петербург г, Таврическая ул, 2, В, Г, 191015;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №121 присмотра и оздоровления Центрального района Санкт-Петербурга;Санкт-Петербург г, Таврическая ул, 27, Б, 191015;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №117 компенсирующего вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Таврическая ул, 35, А, 191015;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 79 компенсирующего вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Тамбасова ул, 36, А, 2, 198259;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 28 комбинированного вида Красносельского района Санкт- Петербурга;Санкт-Петербург г, Тамбасова ул, 6, А, 2, 198329;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №27 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Тамбасова ул, 8, А, 3, 198329;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Кировского района Санкт-Петербурга;Санкт-Петербург г, Танкиста Хрустицкого ул, 29, A, 198217;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №38 комбинированного вида Петроградского района Санкт-Петербурга;Санкт-Петербург г, Татарский пер, 8, А, 197198;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №123 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Тельмана ул, 45, А, 2, 193315;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №54 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Тимуровская ул, 11, А, 2, 195297;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 95 компенсирующего вида Калининского района Санкт - Петербурга;Санкт-Петербург г, Тимуровская ул, 12, А, 2, 195297;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 10 Калининского района Санкт-Петербурга;Санкт-Петербург г, Тимуровская ул, 22, 2, литер А, 195297;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 86 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Тимуровская ул, 30, А, 2, 195297;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Тимуровская ул, 4, А, 2, 195276;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №300 Московского района Санкт-Петербурга;Санкт-Петербург г, Типанова ул, 10, А, 196135;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №101 компенсирующего вида Московского района Санкт-Петербурга;Санкт-Петербург г, Типанова ул, 10, А, 196135;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 310 Московского района Санкт-Петербурга;Санкт-Петербург г, Типанова ул, 16, А, 196135;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 82 Московского района Санкт-Петербурга;Санкт-Петербург г, Типанова ул, 6, 196066;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Тихоокеанская ул, 16, А, 194294;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №21 Калининского района Санкт-Петербурга;Санкт-Петербург г, Тихорецкий пр-кт, 9, 6 литер А, 194064;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №48 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Товарищеский пр-кт, 16, А, 2, 193312;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №37 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Товарищеский пр-кт, 2, А, 3, 193312;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 127 комбинированного вида Выборгского района Санкт- Петербурга;Санкт-Петербург г, Тореза пр-кт, 39, А, 4, 194223;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 21 Приморского района Санкт-Петербурга;Санкт-Петербург г, Торжковская ул, 9, А, 2, 197342;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №3 Кировского района Санкт - Петербурга;Санкт-Петербург г, Трамвайный пр-кт, 11, А, 4, 198207;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №75 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Трефолева ул, 10, A, 198097;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №23 комбинированного вида Петроградского района Санкт-Петербурга;Санкт-Петербург г, Троицкая пл, 1, А, 197046;Петроградский
Государственное бюджетное дошкольное образовательное учреждение Детский сад комбинированного вида №127 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Троицкий пр-кт, 3-5, А, 190005;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Тургенева ул, 6, А, 198515;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад №52 Приморского района Санкт-Петербурга;Санкт-Петербург г, Туристская ул, 18, А, 2, 197345;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 63 Приморского района Санкт-Петербурга;Санкт-Петербург г, Туристская ул, 4, А, 2, 197374;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 97 компенсирующего вида Фрунзенского района Санкт-Петербурга «Консультативно-практический центр для детей с нарушением интеллектуального развития»;Санкт-Петербург г, Турку ул, 12, А, 3, 192238;Фрунзенский
"Государственное бюджетное дошкольное образовательное учреждение детский сад №61 комбинированного вида Фрунзенского района Санкт-Петербурга ""Ягодка""";Санкт-Петербург г, Турку ул, 19, А, 4, 192238;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 82 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Турку ул, 2, А, 2, 192242;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №71 Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Турку ул, 21, А, 1, 192238;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад №77 Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Турку ул, 22, А, 6, 192241;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 37 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Тучков пер, 17, 199004;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 комбинированного вида Пушкинского района Санкт-Петербурга;Санкт-Петербург г, Тярлевская ул, 12, А, 196625;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 20 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 17, А, 3, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №31 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 19, А, 4, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №41 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 22, 2, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №83 комбинированного вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 27, А, 3, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №92 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 30, А, 3, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 75 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 38, А, 3, 195279;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №90 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 50, А, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 88 присмотра и оздоровления Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Ударников пр-кт, 56, А, 2, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Невского района Санкт-Петербурга;Санкт-Петербург г, Уездный пр-кт, 11, 192148;Невский
Государственное бюджетное дошкольное образовательное учреждение Детский сад № 130 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, ул. 9-я Красноармейская, 4-6, А, 190103;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №28 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Учительская ул, 6, 2 литер А, 195269;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 67 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Ушинского ул, 20, А, 2, 195297;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №83 Калининского района Санкт-Петербурга;Санкт-Петербург г, Ушинского ул, 9, А, 2, 195267;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 8 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Фанерная ул, 3, А, 196643;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Фёдора Абрамова ул, 23, 2, 194363;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №19 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Федосеенко ул, 37, А, 195197;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 8 Петродворцового района Санкт-Петербурга;Санкт-Петербург г, Фронтовая ул, 8, А, 198515;Петродворцовый
Государственное бюджетное дошкольное образовательное учреждение детский сад № 81 Московского района Санкт-Петербурга;Санкт-Петербург г, Фрунзе ул, 15, А, 196135;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 75 Московского района Санкт-Петербурга;Санкт-Петербург г, Фрунзе ул, 23, А, 196135;Московский
"Государственное бюджетное дошкольное образовательное учреждение детский сад №41 комбинированного вида Центрального района Санкт-Петербурга ""Центр интегративного воспитания""";Санкт-Петербург г, Фурштатская ул, 22, А, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №72 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Фурштатская ул, 34, А, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №15 Центрального района Санкт-Петербурга;Санкт-Петербург г, Фурштатская ул, 37, В, 191128;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 55 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Фурштатская ул, 48, А, 191123;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №75 Центрального района Санкт-Петербурга;Санкт-Петербург г, Фурштатская ул, 6, А, 191028;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 202 компенсирующего вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Харченко ул, 15, 194100;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №45 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Хасанская ул, 26, А, 2, 195298;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №135 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Хошимина ул, 13, 3, 194356;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 101 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 15, А, 4, 194295;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 117 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 22, 3, литер А, 194295;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 10 компенсирующего вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 23, А, 2, 194295;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 33, А, 3, 194295;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 39, А, 2, 194352;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №12 компенсирующего вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Художников пр-кт, 39, А, 3, 194352;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №73 Невского района Санкт-Петербурга;Санкт-Петербург г, Цимбалина ул, 50, А, 192148;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 Центрального района Санкт-Петербурга;Санкт-Петербург г, Чайковского ул, 2/7, М, 191187;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 40 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Чайковского ул, 46-48, А, 191123;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №78 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Чапыгина ул, 5, Д, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №51 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Чапыгина ул, 7, В, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №61 Калининского района Санкт-Петербурга;Санкт-Петербург г, Черкасова ул, 23, А, 2, 195299;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №128 комбинированного вида Невского района Санкт-Петербурга.;Санкт-Петербург г, Чернова ул, 11, А, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №10 Приморского района Санкт-Петербурга;Санкт-Петербург г, Черной речки наб, 31, А, 197342;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №11 Приморского района Санкт-Петербурга;Санкт-Петербург г, Черной речки наб, 8, 197183;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 111 присмотра и оздоровления Московского района Санкт-Петербурга;Санкт-Петербург г, Чернышевского пл, 9, 196128;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 140 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Чкалова ул, 35, А, 194361;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №15 Невского района Санкт-Петербурга;Санкт-Петербург г, Чудновского ул, 4, А, 2, 193312;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 79 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Шаврова ул, 25, А, 2, 197371;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 67 Красногвардейского района Санкт- Петербурга;Санкт-Петербург г, Шаумяна пр-кт, 41, А, 195112;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №1 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Шаумяна пр-кт, 61, А, 195213;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №2 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Шаумяна пр-кт, 83, А, 195213;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №53 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Шевченко ул, 12, А, 199106;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 68 компенсирующего вида Невского района Санкт-Петербурга;Санкт-Петербург г, Шелгунова ул, 18, С, 192174;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №67 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Шелгунова ул, 20, Р, 192174;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №138 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Шелгунова ул, 21, Е, 192174;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №35 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Приморского района Санкт-Петербурга;Санкт-Петербург г, Школьная ул, 12, А, 197183;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Приморского района Санкт-Петербурга;Санкт-Петербург г, Школьная ул, 120, А, 2, 197374;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 88 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Школьная ул, 128, А, 2, 197374;Приморский
