Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад №122 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Асафьева ул, 12, А, 2, 194356;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 Приморского района Санкт-Петербурга;Санкт-Петербург г, Афанасьевская ул, 6, А, 2, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №3 Приморского района Санкт-Петербурга;Санкт-Петербург г, Аэродромная ул, 7, А, 2, 197348;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №25 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Бабушкина ул, 133, А, 2, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №36 Невского района Санкт-Петербурга;Санкт-Петербург г, Бабушкина ул, 29, А, 3, 192029;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 Невского района Санкт-Петербурга;Санкт-Петербург г, Бабушкина ул, 42, А, 3, 192171;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №6 Невского района Санкт-Петербурга;Санкт-Петербург г, Бабушкина ул, 84, А, 192012;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №1 Приморского района Санкт-Петербурга;Санкт-Петербург г, Байконурская ул, 19, А, 3, 197227;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №4 Приморского района Санкт-Петербурга;Санкт-Петербург г, Байконурская ул, 7, А, 2, 197227;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №36 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Балтийская ул, 4, А, 198095;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №58 компенсирующего вида Петроградского района Санкт-Петербурга;Санкт-Петербург г, Бармалеева ул, 13, А, 197136;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 64 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Бармалеева ул, 29, А, 197136;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №62 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Петроградского района Санкт- Петербурга;Санкт-Петербург г, Бармалеева ул, 30, А, 197136;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 279 Московского района Санкт-Петербурга;Санкт-Петербург г, Бассейная ул, 31, А, 196070;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 70 Московского района Санкт-Петербурга;Санкт-Петербург г, Бассейная ул, 47, А, 196070;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 14 Московского района Санкт-Петербурга;Санкт-Петербург г, Бассейная ул, 71, А, 2, 196211;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №21 Московского района Санкт-Петербурга;Санкт-Петербург г, Бассейная ул, 75, А, 2, 196211;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 92 Приморского района Санкт-Петербурга;Санкт-Петербург г, Бежецкий пер, 3, 1, 197343;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №115 компенсирующего вида Фрунзенского района Санкт–Петербурга;Санкт-Петербург г, Белградская ул, 26, А, 3, 192212;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 92 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Белградская ул, 6, А, 6, 192242;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 73 присмотра и оздоровления Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Белорусская ул, 16, А, 3, 195298;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №69 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Белы Куна ул, 17, А, 3, 192241;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 83 Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Белы Куна ул, 20, А, 4, 192238;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 80 Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Белы Куна ул, 9, А, 2, 192238;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 112 Невского района Санкт-Петербурга;Санкт-Петербург г, Белышева ул, 8, 2 литер А, 193318;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №16 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Беринга ул, 22, Б, 2, 199406;Василеостровский
"Частное дошкольное образовательное учреждение ""Детский сад ""Медоед""";Санкт-Петербург г, Беринга ул, 27, А, 4, 199397;
Государственное бюджетное дошкольное образовательное учреждение детский сад №4 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Бестужевская ул, 24, А, 195271;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №46 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Бестужевская ул, 24, А, 195271;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 24 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Бестужевская ул, 37, А, 195067;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №23 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Бестужевская ул, 49, А, 195067;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 86 Приморского района Санкт-Петербурга;Санкт-Петербург г, Богатырский пр-кт, 36, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №7 общеразвивающего вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Богатырский пр-кт, 5, А, 4, 197348;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 64 Приморского района Санкт-Петербурга;Санкт-Петербург г, Богатырский пр-кт, 50, A, 3, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №77 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Богатырский пр-кт, 57, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 комбинированного вида Выборгского района Санкт- Петербурга;Санкт-Петербург г, Болотная ул, 15, 194021;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад №123 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Болотная ул, 3, 194021;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 43 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Большая Конюшенная ул, 7, А, 191186;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад общеразвивающего вида № 12 с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Большая Подьяческая ул, 8, А, 190068;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №34 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Большая Пороховская ул, 44, А, 2, 195248;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Большевиков пр-кт, 31, А, 2, 193232;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №85 Невского района Санкт-Петербурга;Санкт-Петербург г, Большевиков пр-кт, 37, З, 2, 193232;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №113 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Большевиков пр-кт, 61, А, 4, 193315;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №84 Невского района Санкт-Петербурга;Санкт-Петербург г, Большевиков пр-кт, 65, Д, 5, 193315;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 18 компенсирующего вида Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Большеохтинский пр-кт, 6, А, 195027;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Большой П.С. пр-кт, 9/1, А, 197198;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 29 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Большой Сампсониевский пр-кт, 51, А, 194044;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 77 Выборгского района Санкт-Петербурга;Санкт-Петербург г, Большой Сампсониевский пр-кт, 66, 1, 3, 194044;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 комбинированного вида Фрунзенского района Санкт-Петербурга;Санкт-Петербург г, Боровая ул, 86, А, 192007;Фрунзенский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 86 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Бородинская ул, 12/31, А, 191180;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №159 присмотра и оздоровления Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Бронницкая ул, 33, А, 190013;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №31 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Брюсовская ул, 18, А, 195271;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №57 Калининского района Санкт-Петербурга;Санкт-Петербург г, Брянцева ул, 18, А, 2, 195269;Калининский
